№,Класс,Пример SQL,Какие переменные,Сейчас (3.4.x / master),После #906 (ветка),Вердикт,Примечание
1,Конкатенация / строковые литералы,"FROM $db.$table · LIKE 'pre$v%'",все,raw,raw,✅ без изменений,"#797, #827"
2,IN()/IN[]/NOT IN/tuple() + скаляр,WHERE x IN ($v),все,'val' + экранирование,'val' + экранирование,✅ без изменений,#847
3,IN(...) + массив,WHERE x IN ($multi),мультиселект,"'a','b'","'a','b'",✅ без изменений,#838 (скобки не дублируются)
4,Массив вне IN,"hasAny($tags, col)",мультиселект,"['a', 'b']","['a', 'b']",✅ без изменений,#829
5,Repeated-панели (value ≠ current),repeat by variable,все,'val' — квотит и числа; БЕЗ экранирования,то же самое,✅ без изменений,"#712; известные дефекты L-4/C4 одинаковы в обеих версиях"
6,"Плоская позиция, multi:false / includeAll:false",WHERE db = '$db',"query/custom, мультиселект выкл",raw,raw,✅ без изменений,
7,"Плоская позиция, truthy-конфиг",WHERE x = $v при multi/All вкл,"мультиселект, groupby",'val' + экранирование,'val' + экранирование,✅ без изменений,
8,Числа (без экзотики класса 10),WHERE port = $port,все,raw,raw,✅ без изменений,
9,"Плоская позиция, нечисловая строка, falsy-конфиг ≠ false/false","FROM $var · WHERE $cond · WHERE x = $var","constant, textbox, interval; query/custom из старых JSON (null)",'val' — это баг #905: FROM 'db.t' ломает идентификаторы и SQL-фрагменты,raw — идентификаторы и фрагменты работают; голое = $var требует авторских кавычек,🔶 ЦЕЛЕВОЕ ИЗМЕНЕНИЕ,"чинит #905; BREAKING для голых value-позиций → миграция = '$var'; предупредить когорту #809"
10,"Плоская позиция, числовая строка + первая нечисловая опция в options, falsy-конфиг",WHERE x = $v ($v='123'),query/custom из старых JSON со смешанными options,'123' (escape читал options),"123 (guard срабатывает раньше, options не читаются)",🔶 BREAKING-грань,сценарий №15 (найден полным перебором); риск type mismatch на String-колонках
11,Значение null при falsy-конфиге,пустая переменная,constant/textbox,крэш TypeError в clickhouseEscape (измерено),"raw, без крэша",✅ бонус-фикс,скрытый краш устранён
12,Формат-спецификаторы,"${var:raw}, ${var:sqlstring}",все,обход плагина,обход плагина,✅ без изменений,плагин не вызывается
13,Идентификаторная позиция + truthy/repeated скаляр,"FROM $v · JOIN $v · RENAME … TO $v",мультиселект/All; repeated-панели,FROM 'tbl' — всегда невалидный SQL,FROM tbl — работает,✅ новое правило R-13,"поверх #906; может только чинить: квотированный идентификатор не бывает валидным ClickHouse; контракт G1–G6"
,,,,,,,
СВОДКА,"10 классов без изменений · 1 целевое изменение (класс 9 — сам фикс #905) · 1 экзотическая грань (класс 10) · 2 бонус-фикса (классы 11, 13)",,,,,,
ГАРАНТИЯ,"Новое условие — надмножество старого: изменения возможны только 'quoted' → raw; ни один класс не может «начать квотиться» (запинено тестом эквивалентности A-EQ)",,,,,,
,,,,,,,
НА УТВЕРЖДЕНИЕ,,,,,,,
Q-1,"Поведение: классы 9–11 и 13 (включая новое правило R-13 для FROM/JOIN/INTO/TO/TABLE); релиз как 3.5.0 с BREAKING-записью и migration note (включая когорту #809)",,,,,☐ утверждаю / ☐ с правками,
Q-2,"Источник правды: стандарт STD-INTERP-1 + контракт-тест (38 кейсов); изменения поведения только парным PR (M-1…M-5)",,,,,☐ утверждаю / ☐ с правками,
Q-3,"Фаза 2 (модуль variables/, экранирование L-1/L-4, нормализация L-2): сразу после мержа или отложить",,,,,☐ сразу / ☐ отложить,
,,,,,,,
Ссылки,"Ветка: fix/interpolation-contract-905 · Стандарт: docs/superpowers/specs/2026-07-05-interpolation-standard.md · Контракт: src/datasource/helpers/interpolation-contract.test.ts · e2e: /d/issue905-single-value",,,,,,
Автор,Roman M · 2026-07-05,,,,,,
